q1,q2,q3,q4,q5,q6_1,q6_2,q7,q8,q9,q10_1,q11_1,q11_2,q12,q13,q14version1,q14version2,q15group1,q15group2,q15group3,q15group4,q15group5,q15group6,q15group7,q15group8,q16,q17,q18_1,q18_2,q18_3,q18_4,q18_5,q19_1,q19_2,q19_3,q20,q21,q22,exp_ind,issue,protester_approval,justified_arrests,aggressive,law_abiding,dangerous,respectful,caring,violent,lawful,threatening,unauthorized,violence,obey,Putin,missing_justified,missing_approval,m_aggressive,m_law_abiding,m_dangerous,m_respectful,m_caring,m_violent,m_lawful,m_threatening
58,85,2,1,6,2,2,2,7,2,5,3,3,4,5,1,,,,,,,,3,,3,8,1,1,1,1,1,1,2,2,5,3,3,7,1,2,8,5,5,5,5,5,5,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
62,59,6,1,6,5,4,1,5,1,5,1,3,1,1,,5,3,,,,,,,,4,10,1,3,1,3,3,3,3,3,5,3,5,1,0,1,10,5,2,5,2,2,2,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
65,42,2,1,4,5,5,1,5,1,5,1,3,1,1,4,,,4,,,,,,,4,10,1,2,3,1,1,1,2,1,3,3,3,2,0,1,10,5,4,2,5,5,5,4,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0
57,12,4,1,6,5,5,1,5,1,5,3,3,1,1,,5,,,,,,3,,,4,10,1,4,1,4,4,1,4,2,4,4,5,6,1,1,10,5,1,5,1,1,5,1,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0
59,58,5,1,4,4,4,1,10,4,5,2,3,2,4,2,,,,,,,,3,,3,9,99,99,99,99,99,99,99,99,5,4,4,7,1,2,9,3,3,3,3,3,3,3,3,1,0,0,0,0,0,1,1,1,1,1,1,1,1
56,11,3,1,4,4,4,1,7,3,5,1,3,2,1,,3,,,,,,,,3,3,9,1,2,1,2,2,3,3,3,5,3,3,8,1,2,9,5,4,5,4,4,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
64,7,2,1,7,5,5,1,3,1,5,1,3,1,2,2,,1,,,,,,,,1,0,4,2,4,1,1,4,1,4,5,1,2,1,0,5,0,1,4,1,5,5,1,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
65,72,2,1,5,3,3,3,3,3,4,2,4,1,4,,1,,,,,,5,,,5,3,2,4,2,3,4,98,3,98,5,2,6,6,1,3,3,4,1,4,2,1,3,2,3,0,1,0,0,0,1,0,0,0,0,0,1,0,1
63,42,1,1,6,5,5,1,5,1,5,2,3,1,1,,3,,,,4,,,,,1,5,3,3,3,2,2,3,3,2,5,3,5,4,0,5,5,2,2,2,4,4,2,2,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0
64,59,6,1,6,5,5,1,5,2,5,1,3,1,1,2,,,,,,2,,,,2,0,4,1,4,2,2,4,1,4,5,3,4,5,1,4,0,1,5,1,4,4,1,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
60,46,1,1,6,1,1,2,2,2,1,2,3,1,1,,2,,,,,,,,3,3,5,1,4,3,3,2,3,3,3,6,5,3,8,1,2,5,5,1,2,2,4,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
55,76,4,1,7,4,4,1,9,1,5,3,3,1,4,,3,,,,3,,,,,3,1,4,2,4,1,1,3,2,3,5,2,3,4,0,2,1,1,4,1,5,5,2,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
58,58,5,1,4,5,5,1,5,2,5,2,3,1,3,2,,,,,,4,,,,4,0,4,1,4,3,3,4,1,4,6,5,5,5,1,1,0,1,5,1,2,2,1,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
65,42,4,1,6,4,4,1,5,1,5,2,3,1,4,2,,,,4,,,,,,4,9,2,3,2,3,3,4,3,3,4,3,3,3,0,1,9,4,2,4,2,2,1,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0
64,42,1,1,4,5,5,1,5,3,5,1,3,1,1,,3,,,4,,,,,,2,10,3,4,3,98,2,2,4,1,4,3,5,3,0,4,10,2,1,2,3,4,4,1,5,1,0,0,1,0,0,0,0,0,1,0,0,0,0
55,80,5,1,6,5,3,1,5,1,5,1,3,2,4,2,,,4,,,,,,,1,10,4,1,4,1,1,4,1,4,4,3,2,2,0,5,10,1,5,1,5,5,1,5,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
55,12,5,1,7,5,4,1,5,1,5,2,3,1,4,,3,,,,,,4,,,4,10,1,4,1,4,4,1,4,1,5,4,4,6,1,1,10,5,1,5,1,1,5,1,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0
57,43,3,1,6,5,5,1,5,1,5,2,3,1,1,2,,,,,,,,3,,2,7,4,2,4,2,2,4,4,2,5,3,4,7,1,4,7,1,4,1,4,4,1,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0
57,79,3,1,4,5,5,1,5,1,5,1,3,1,1,,3,1,,,,,,,,1,0,2,4,1,4,4,3,1,3,5,3,5,1,0,5,0,4,1,5,1,1,2,5,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
58,7,5,1,4,4,3,3,9,2,4,1,2,4,7,1,,,2,,,,,,,1,0,98,1,4,2,98,4,2,3,5,2,3,2,0,5,0,3,5,1,4,3,1,4,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0
55,8,2,1,7,4,4,1,1,2,4,2,3,1,4,,3,,,,3,,,,,2,7,1,3,1,3,3,2,3,2,5,3,3,4,0,4,7,5,2,5,2,2,4,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
66,56,2,1,4,3,1,2,2,1,5,1,3,1,1,2,,,,,,,,3,,2,6,4,3,4,2,2,4,3,4,4,1,1,7,1,4,6,1,2,1,4,4,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
59,74,4,1,6,1,1,2,7,2,5,2,3,2,4,1,,,,,,,3,,,5,7,98,98,98,4,4,98,98,98,4,3,2,6,1,3,7,3,3,3,1,1,3,3,3,0,1,0,0,0,1,1,1,1,0,0,1,1,1
69,74,4,1,7,4,4,1,5,1,1,1,3,1,1,,5,,,,,,,,4,2,7,2,2,3,2,2,3,3,3,3,2,3,8,1,4,7,4,4,2,4,4,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0
64,59,6,1,8,4,4,1,5,1,4,2,3,2,4,,3,,2,,,,,,,2,3,3,2,3,2,2,4,2,3,4,3,3,2,0,4,3,2,4,2,4,4,1,4,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0
67,58,5,1,6,2,3,2,2,2,5,2,4,2,2,2,,,,,,,,3,,3,5,4,1,4,2,98,4,2,3,4,2,3,7,1,2,5,1,5,1,4,3,1,4,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0
58,69,1,1,4,2,2,2,1,2,5,2,2,1,4,,1,,,,,1,,,,1,0,4,1,4,1,1,4,2,4,4,1,1,5,1,5,0,1,5,1,5,5,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
